# Time (s),Altitude (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°)
0.13,0.168831036176195,5.199958093483912,5.219313630589571,116.40788599795017,116.85254521122685,0.014345878374251,7.545487061022535e-9,0.014345878374253,89.99996986419711,0.449077499402107,10.184370369838781,0,0,0,85,90
0.132,0.179465825447142,5.435859901491688,5.456116403494186,119.49405810928117,119.95050599865394,0.015264582105271,7.779605905434852e-9,0.015264582105273,89.99997079916228,0.469716233308056,10.454375443270111,0,0,0,85,90
0.134,0.190578591218957,5.677934862873464,5.699115918748668,122.58103578586255,123.04927542845981,0.016225103361548,8.013724749847169e-9,0.01622510336155,89.99997170109823,0.490895048152436,10.724450994528576,0,0,0,85,90
0.136,0.202181681395318,5.926184567534087,5.948313771700671,125.66879795084056,126.14883234328052,0.017228522444673,8.247843594259486e-9,0.017228522444675,89.99997257068158,0.512614083033899,10.994595179628417,0,0,0,85,90
0.138,0.214287447018152,6.180610564107832,6.203711516322428,128.75732440538252,129.24915646712716,0.018275919930798,8.481962438671803e-9,0.0182759199308,89.99997340869015,0.534873473440387,11.264806231400755,0,0,0,85,90
0.139,0.220532693660708,6.310140144961188,6.333735822748481,130.30186816040367,130.79960012837108,0.018816448328357,8.599021860877962e-9,0.018816448328359,89.99997381611809,0.54620584335632,11.399936300284866,0,0,0,85,90
0.1405,0.230145127868873,6.506861764848642,6.531208805927633,131.99373054805204,132.49792515548597,0.019648637523579,8.774610994187201e-9,0.019648637523581,89.99997441307696,0.563416754966927,11.54795507945,0,0,0,85,90
0.1425,0.243424343205215,6.773105837474242,6.798469785099989,134.25052852189918,134.76334373096137,0.020798698556853,9.008729838599518e-9,0.020798698556855,89.99997518295693,0.58671009305264,11.7453993180299,0,0,0,85,90
0.1445,0.257240561027106,7.043864621953135,7.070262727804229,136.5084411609177,137.029881229448,0.021995741219898,9.242848683011835e-9,0.0219957412199,89.9999759236929,0.610398417244601,11.942941077175922,0,0,0,85,90
0.1465,0.27160281298268,7.319140340288634,7.346589864019414,138.7674611984394,139.2975303565202,0.023240555679539,9.476967527424151e-9,0.023240555679541,89.99997663609038,0.634481921942912,12.14057972113698,0,0,0,85,90
0.1485,0.286520135149771,7.598935200289533,7.627453409529226,141.0275816951417,141.5662841463483,0.024533932490148,9.711086371836468e-9,0.02453393249015,89.99997732103225,0.658960800305814,12.338314642801011,0,0,0,85,90
0.1505,0.302001568008137,7.883251395189335,7.912855565533031,143.28879306851456,143.83613297981861,0.025876662591218,9.945205216248785e-9,0.02587666259122,89.99997797945221,0.683835244216373,12.536145003807022,0,0,0,85,90
0.1525,0.318056156398027,8.172091092025001,8.202798506974526,145.55108507851313,146.10706657777098,0.027269537303733,1.01793240606611e-8,0.027269537303735,89.99997861231378,0.709105443265758,12.734069908267172,0,0,0,85,90
0.1545,0.334692949489726,8.465456458594751,8.497284409597592,147.81446188109555,148.37908911203866,0.028713348327507,1.041344290507342e-8,0.028713348327509,89.9999792205938,0.734771587111738,12.932089719780688,0,0,0,85,90
0.1565,0.351921000788608,8.76334965897316,8.79631544544005,150.07891797844022,150.65219506379924,0.030208887741627,1.064756174948574e-8,0.030208887741629,89.99997980526936,0.760833865086305,13.130203957350501,0,0,0,85,90
0.1585,0.369749368117245,9.06577284629817,9.099893775589473,152.3444479231652,152.92637896486264,0.031756948002884,1.088168059389805e-8,0.031756948002886,89.99998036730824,0.78729246556462,13.32841214439245,0,0,0,85,90
0.1605,0.388187113593598,9.372728162822103,9.408021550231247,154.6110462692376,155.20163534839304,0.033358321943866,1.111579943831037e-8,0.033358321943868,89.99998090766091,0.814147575969476,13.526713804440394,0,0,0,85,90
0.1625,0.407243303609217,9.684217739869139,9.720700908603133,156.87870752751965,157.47795870428507,0.035013802771053,1.134991828272269e-8,0.035013802771055,89.9999814272554,0.841399382767576,13.725108457257006,0,0,0,85,90
0.1645,0.426927008807278,10.000243697708399,10.03793397886548,159.14742612578866,159.75534343903107,0.036724184062895,1.1584037127135e-8,0.036724184062896,89.99998192699296,0.869048071458433,13.92359561533597,0,0,0,85,90
0.1665,0.447247304060271,10.32080814535136,10.35972287789577,161.41719637301338,162.0337838398609,0.038490259767856,1.181815597154732e-8,0.038490259767858,89.99998240774515,0.897093826556641,14.122174780776566,0,0,0,85,90
0.1685,0.468213268447236,10.645912893863356,10.686069423503227,163.6871531962009,164.31241152934342,0.040312824202428,1.205227481595964e-8,0.04031282420243,89.9999828703522,0.925536806509887,14.320770269498796,0,0,0,85,90
0.1705,0.489833981682658,10.975556982263331,11.016972650876628,165.95707536093784,166.59100442798567,0.042192671738697,1.228639366037195e-8,0.042192671738699,89.99998331562156,0.954376927243222,14.519362725999502,0,0,0,85,90
0.1725,0.51211852349726,11.30974175091174,11.352433905349516,168.22783113091336,168.87043411610313,0.044130596750169,1.252051250478427e-8,0.044130596750171,89.99998374432761,0.983614306022991,14.71802811350844,0,0,0,85,90
0.1745,0.535075976909458,11.64846885306522,11.692454846358428,170.4994065218062,171.15068655595667,0.046127393897986,1.275463134919659e-8,0.046127393897988,89.9999841572115,1.013249087490408,14.916765208556034,0,0,0,85,90
0.1765,0.558715428216085,11.991739913820846,12.037037105083318,172.77178735452085,173.43174751428887,0.048183858130114,1.29887501936089e-8,0.048183858130115,89.9999845549818,1.043281413823044,15.115572770632165,0,0,0,85,90
0.1785,0.583045966935669,12.339556529704186,12.386182284033039,175.04495923315255,175.71360254020504,0.050300784676381,1.322286903802122e-8,0.050300784676382,89.99998493831471,1.073711424698787,15.314449540258368,0,0,0,85,90
0.1805,0.608076685750844,12.691920268215442,12.739891956588874,177.31890752509318,177.99623694520287,0.052478969043438,1.345698788243354e-8,0.05247896904344,89.99998530785521,1.104539257256134,15.51339423724731,0,0,0,85,90
0.1825,0.633816680449812,13.04883266733782,13.09816766651024,179.59361734313563,180.2796357852085,0.05471920700964,1.369110672684586e-8,0.054719207009642,89.99998566421785,1.135765046051182,15.712405559137142,0,0,0,85,90
0.1845,0.660275049866787,13.410295235011999,13.461010927406448,181.8690735294315,182.56378384447302,0.057022294619831,1.392522557125817e-8,0.057022294619833,89.99998600798762,1.167388923011645,15.911482179787962,0,0,0,85,90
0.1865,0.687460895821363,13.77630944858024,13.828423222178062,184.14526064115856,184.84866562118515,0.059389028180043,1.415934441567049e-8,0.059389028180045,89.9999863397213,1.199411017388222,16.1106227481279,0,0,0,85,90
0.1885,0.715383323056737,14.146876754203431,14.200406002431137,186.4221629377586,187.1342653146603,0.061820204252091,1.439346326008281e-8,0.061820204252092,89.9999866599487,1.231831455703598,16.309825887036542,0,0,0,85,90
0.1905,0.744051439176739,14.521998566254052,14.576960687867377,188.69976436961178,189.42056681397162,0.06431661964806,1.462758210449512e-8,0.064316619648062,89.99998696917338,1.264650361699329,16.509090192354105,0,0,0,85,90
0.192,0.766047364969097,14.806329652721997,14.862377850446991,190.40841441646543,191.13574362642268,0.066232223971768,1.480317123780435e-8,0.066232223971769,89.99998719416043,1.289526108453283,16.65857770138684,0,0,0,85,90
0.194,0.796037913184176,15.182754296915089,15.24024034720388,186.01561824434845,186.72616768656718,0.06884433718434,1.503729008221667e-8,0.068844337184341,89.99998748519786,1.322458997491958,16.27425783514653,0,0,0,85,90
0.196,0.826772522657822,15.550389697012179,15.60928002837222,181.61917924624998,182.31293500572676,0.071521547322005,1.527140892662899e-8,0.071521547322006,89.99998776610252,1.354622927311271,15.889619262929644,0,0,0,85,90
0.198,0.858233607651443,15.909228620023333,15.96948963315181,177.21914965102113,177.8960980122582,0.074262315831997,1.550552777104131e-8,0.074262315831999,89.99998803698364,1.386017265106599,15.504666554168558,0,0,0,85,90
0.2,0.890403568063226,16.259263934884288,16.320862003079487,172.81557918799712,173.47570662545473,0.077065102904931,1.573964661545362e-8,0.077065102904932,89.99998829800663,1.41664138699066,15.119404059616354,0,0,0,85,90
