# Time (s),Altitude (m),Altitude above sea level (m),Vertical velocity (m/s),Total velocity (m/s),Vertical acceleration (m/s²),Total acceleration (m/s²),Position East of launch (m),Position North of launch (m),Lateral distance (m),Lateral direction (°),Lateral velocity (m/s),Lateral acceleration (m/s²),Latitude (° N),Longitude (° E),Angle of attack (°),Roll rate (°/s),Pitch rate (°/s),Yaw rate (°/s),Vertical orientation (zenith) (°),Lateral orientation (azimuth) (°),Mass (g),Motor mass (g),Longitudinal moment of inertia (kg·m²),Rotational moment of inertia (kg·m²),Gravitational acceleration (m/s²),CP location (cm),CG location (cm),Stability margin calibers (​),Thrust (N),Thrust-to-weight ratio (​),Drag force (N),Drag coefficient (​),Friction drag coefficient (​),Pressure drag coefficient (​),Base drag coefficient (​),Axial drag coefficient (​),Normal force coefficient (​),Pitch moment coefficient (​),Yaw moment coefficient (​),Side force coefficient (​),Roll moment coefficient (​),Roll forcing coefficient (​),Roll damping coefficient (​),Pitch damping coefficient (​),Wind velocity (m/s),Wind direction (°),Air temperature (°C),Air pressure (mbar),Air density (g/cm³),Speed of sound (m/s),Mach number (​),Reynolds number (​),Reference length (cm),Reference area (cm²),Simulation time step (s),Computation time (s),Coriolis acceleration (m/s²)
9.964031249999994,1150.68460371674,1150.68460371674,78.70008289883052,82.46448642238015,-21.266952723011855,21.574363577197204,232.8681662337125,0.001323855477751,232.86816623747555,89.9996742735051,24.631046925052225,3.629033705860547,28.61000001189181,-80.59761138144863,0.037934951614915,-1.457548089775092e-6,-2.704301772801713,0.009600511188517,71.33297482933233,90.00230090551307,1263.5352155369949,215.20105525725396,0.176921115088233,0.003629445520697,9.78864107402308,115.09913023018154,96.54972796700717,1.825728569210076,2.524631250000112,0.204121240444598,17.732576127526002,0.578849278237886,0.279235814758092,0.171664130727062,0.127949332752732,0.578851868493804,0.009722251361446,0.018761866565592,4.291841228457008e-4,0,0,0,0,-6.372343569528875e-4,1.898948397679086,90,7.520550075841186,882.7171553735694,0.001095626760332,335.85635334595975,0.247282659081773,7.260486197959052e6,10.16,81.07319665559963,0.01,0.752204,0
9.974031249999994,1151.4705404822835,1151.4705404822835,78.48719985820718,82.25041414630321,-21.309119934207132,21.62441950527658,233.11429445232528,0.00131552313154,233.1142944560372,89.99967666537366,24.59451332424042,3.679256252255679,28.610000011816965,-80.59760885681662,0.033513685350407,-1.466565356137902e-6,-2.526615004734647,0.012777087095358,71.30684256155084,90.00236552801957,1263.5222416143652,215.18808133462414,0.176919603596987,0.003629443178835,9.788638659374698,115.10195372175052,96.54938444625492,1.82604028302122,2.361718969298353,0.190951480343839,17.64017986707106,0.578797648161077,0.279244450023618,0.171643821579439,0.12790937655802,0.578799669991131,0.008587838030545,0.016008609504443,-4.233315507359659e-5,0,0,0,0,-5.590664746050214e-4,1.910337438435002,90,7.515441486865143,882.6335542298798,0.001095542935145,335.8532575410403,0.246660410561997,7.241699576020474e6,10.16,81.07319665559963,0.01,0.7525781,0
9.984031249999994,1152.2543463590864,1152.2543463590864,78.2739098173789,82.03580035025338,-21.34848059577596,21.673215434395544,233.3600546765938,0.001307097342755,233.36005468025445,89.99967907463319,24.557434332752845,3.737732403142105,28.610000011741278,-80.59760633595926,0.027580492099678,-1.47180127061575e-6,-2.379199019231225,0.015155201081117,71.28233481004035,90.00234581885954,1263.5092676917354,215.17510741199433,0.176918092075919,0.003629440836973,9.788636251273976,115.1060492521315,96.54904091844801,1.826477198197194,2.198806688596594,0.177781443167102,17.547812642104546,0.578746008584124,0.279253085866091,0.171623505024313,0.127869417693719,0.578747378098877,0.007066167356648,0.01364451759178,4.525373941173269e-4,0,0,0,0,-4.982582426303596e-4,1.921726479190918,90,7.510346748665938,882.5501797516724,0.001095459334191,335.85017012969155,0.246036546592939,7.222869509437513e6,10.16,81.07319665559963,0.01,0.752992,0
9.994031249999994,1153.036017405538,1153.036017405538,78.06023729739373,81.82064650572083,-21.385747230610406,21.721143339712597,233.60544107532493,0.001298584053283,233.60544107893426,89.9996814997748,24.519737920473528,3.80235234726877,28.610000011664805,-80.59760381893636,0.020484082786887,-1.46462370584675e-6,-2.262476622896294,0.017732234573408,71.259156128409,90.0023084976668,1263.4962937691057,215.16213348936452,0.17691658052503,0.003629438495112,9.788633849733017,115.11112467470565,96.54869738358623,1.827010560149549,2.035894407894835,0.164611128932075,17.455479758251116,0.57869436037433,0.279261722129379,0.17160318136268,0.127829456882271,0.57869511594998,0.005246960928899,0.009773205957689,3.552289984930063e-4,0,0,0,0,-4.528767992547609e-4,1.933115519946834,90,7.505265886863981,882.4670323582213,0.001095375957916,335.84709112743957,0.245411066176909,7.203995971383344e6,10.16,81.07319665559963,0.01,0.7533835,0
10.004031249999993,1153.8155498886558,1153.8155498886558,77.84621100479345,81.60495330805506,-21.414743572392453,21.765772843459523,233.85044720513747,0.001289997185503,233.8504472086955,89.9996839373403,24.481336495522935,3.893279491862379,28.610000011587672,-80.59760130581404,0.008751056896668,-1.464478496815108e-6,-2.183227579848049,0.033663131554311,71.23696984698795,90.00226185633952,1263.4833198464758,215.1491595667347,0.176915068944317,0.00362943615325,9.788631454763284,115.1201113954631,96.54835384166937,1.827928893089933,1.872982127193109,0.151440537656525,17.36399230033652,0.578643166117824,0.279270281390389,0.171583032359752,0.127789852367683,0.578643304069647,0.002240877893215,0.004246870391101,-3.928293804052284e-4,0,0,0,0,-4.238578592878578e-4,1.950376738804192,90,7.500198925723737,882.384112446609,0.001095292806742,335.84402054898857,0.244789585746349,7.185243821758297e6,10.16,81.07319665559963,0.01,0.7537571,0
10.014031249999993,1154.592940949049,1154.592940949049,77.63196895811154,81.38871866849504,-21.433895964225236,21.80689023580721,234.09506383962068,0.001281350647076,234.0950638431275,89.99968638388631,24.44178639515204,4.016038539570179,28.610000011510003,-80.59759879668694,0.008624908010333,-1.462247724950193e-6,2.180692530466528,0.023373169546525,71.21521149022145,90.00219505545401,1263.470345923846,215.1361856441049,0.17691355733378,0.003629433811388,9.788629066373549,115.11934632184027,96.5480102926972,1.827887404443215,1.71006984649135,0.138269669358313,17.273751917371186,0.578592644641305,0.279278727051421,0.17156314409889,0.127750773490994,0.57859277863353,0.002208447384419,0.003145279372593,-3.175546159379757e-4,0,0,0,0,4.250139607338746e-4,1.976332422912572,90,7.495145883831185,882.3014203209926,0.001095209881,335.84095840560167,0.244174803258053,7.166692214058342e6,10.16,81.07319665559963,0.01,0.7541392,0
10.024031249999993,1155.368188603354,1155.368188603354,77.41752634839861,81.17194056551239,-21.45506297463608,21.849473291919672,234.33927891928573,0.001272657233844,234.33927892274153,89.99968883625229,24.40103582363017,4.132766130415695,28.61000001143191,-80.59759629167871,0.025094650368088,-1.462661171688211e-6,2.253604112069009,0.006918808978102,71.19310113020218,90.00216336071884,1263.4573720012163,215.1232117214751,0.176912045693417,0.003629431469526,9.7886266845699,115.1046207952983,96.5476667366695,1.826471856164253,1.547157565789591,0.125098524055388,17.1835674061382,0.578542111395174,0.279287173672411,0.171543247550271,0.127711690172492,0.578543244876423,0.006427518849704,0.011221160138301,-3.18210348649334e-4,0,0,0,0,4.562185574227251e-4,2.002288107020952,90,7.490106774078186,882.2189561923453,0.001095127180925,335.8379047050914,0.243558398817512,7.148096920557487e6,10.16,81.07319665559963,0.01,0.7546778,0
10.034031249999993,1156.1412907233844,1156.1412907233844,77.20285683477941,80.9546165479336,-21.47947806840776,21.893930260504582,234.58308080515135,0.001263926731901,234.58308080855636,89.99969129202711,24.35916330606447,4.239835393105277,28.61000001135349,-80.59759379090877,0.039979402173732,-1.464626032125148e-6,2.397312441733759,0.002694404431056,71.16990296555461,90.00213447103073,1263.4443980785863,215.11023779884525,0.176910534023229,0.003629429127664,9.788624309358871,115.09123613576999,96.54732317358607,1.825188283679521,1.384245285087832,0.111927101765727,17.093431685108825,0.578491566977892,0.279295621142212,0.171523342909224,0.127672602926456,0.578494441944869,0.010242673388232,0.018375233773209,-1.800366554579169e-4,0,0,0,0,5.188976436790651e-4,2.028243791129332,90,7.485081610297982,882.136720287045,0.001095044706768,335.83485945584056,0.242940368220674,7.129457819127305e6,10.16,81.07319665559963,0.01,0.7551814,0
10.044031249999993,1156.9122448595938,1156.9122448595938,76.98792249017903,80.73674351044879,-21.508179895893647,21.94053378902455,234.8264588139282,0.001255167172166,234.82645881728268,89.99969374923974,24.316281445117784,4.33419202541883,28.610000011274803,-80.59759129448672,0.052691574342742,-1.461370042669924e-6,2.603124014018921,0.002857446025812,71.14494910309742,90.00211040709853,1263.4314241559566,215.09726387621544,0.176909022323214,0.003629426785802,9.788621940747982,115.07968347334214,96.54697960344667,1.824085026564515,1.221333004386073,0.098755402507332,17.003334864951658,0.578441012071789,0.279304069335551,0.171503430403694,0.127633512332544,0.578446003074052,0.013502455499737,0.02375489011392,-1.114765882322338e-4,0,0,0,0,6.149620317363456e-4,2.054199475237712,90,7.480070408412644,882.0547128656533,0.001094962458816,335.83182266749805,0.24232070822559,7.110774816042979e6,10.16,81.07319665559963,0.01,0.7556738,0
10.054031249999992,1157.6810481356301,1157.6810481356301,76.7726590931988,80.5183181838045,-21.55224064405737,21.99288646783425,235.06940352802005,0.00124638384861,235.06940353132435,89.99969620659644,24.27258492431042,4.380408474981346,28.610000011195904,-80.59758880250914,0.056935662859041,-1.467440379484685e-6,2.852781028186258,0.00459634036549,71.11768346362243,90.00212633720115,1263.4184502333267,215.08428995358562,0.176907510593371,0.003629424443941,9.788619578746058,115.07523454366641,96.54663602625108,1.823680956438517,1.058420723684347,0.085583426298238,16.912018600955893,0.578389756392127,0.279312633685358,0.171483238435161,0.127593884271608,0.578395582295234,0.014590537225114,0.025924785668654,-4.73968872790649e-4,0,0,0,0,7.424440492204315e-4,2.071345846461498,90,7.475073187118426,881.9729342341313,0.0010948804374,335.82879435139375,0.241690906732105,7.091798147244636e6,10.16,81.07319665559963,0.01,0.7560814,0
